ID,Q15,Major Classification,Minor Classification,Positive topics,Negative topics,
1848,땀이 차지 않는 걸 강조하는게 마음에들어요,기능성 강조,긍정적 평가,땀 차지 않음|강조,,
1849,그냥 브랜드만 알꺼 같다. 내용을 이해하기는 쉽지않다.,메시지/카피,이해도 낮음,브랜드 인지도,내용 이해 어려움,
1850,가벼운 느낌의 신발과 산뜻한 배경이 마음에 듬,비주얼,긍정적 평가,신발|배경,,
1851,이해하기 쉬움,메시지/카피,이해도 높음,이해도,,
1852,제품의 실용성이 잘 나타났다,기능성 강조,긍정적 평가,실용성,,
1853,박보검을 잘 선택했고 기능을 잘 어필하고 있음,광고 구성,긍정적 평가,박보검|기능,,
1854,박보검이 싫다,모델,호감도 낮음,,박보검,
1855,광고 모델이 주원,모델,인지도,주원,,
1856,아이유가 좋다,모델,호감도 높음,아이유,,
1857,딱히 기억에 남는 부분이 없어서,광고 전반,기억에 남지 않음,,기억에 남는 부분 없음,
1858,음악이 맘에 든다,음악/사운드,긍정적 평가,음악,,
1859,문구,Not enough data,Not enough data,,,
1860,모델,Not enough data,Not enough data,,,
1861,평범하다,광고 임팩트,약한 임팩트,없음,평범함,
1862,기능성에 치중해서 설명해줬음,기능성 강조,긍정적 평가,기능성,,
1863,땀 찰 일이 없네,기능성 강조,긍정적 평가,땀 차지 않음,,
1864,보통입니다.,전반적 평가,중립적,,보통,
1865,에어로 기능성을 첨가했으니 비싸다,제품/브랜드,기능성 강조,에어로 기능성,비싸다,
1866,나쁘지 않아요,전반적 평가,중립적,,,
1867,모델이 안어울린다,모델,호감도 낮음,,모델|부조화,
1868,박보검,Not enough data,Not enough data,,,
1869,다른광고와 비슷해 보여서,광고 전반,평범함,없음,유사성,
1870,상황과 그 상황에서 신으면 좋을 신발로 눈길이 확 감,광고 임팩트,강한 임팩트,상황|신발,,
1871,모델이 별로 이다,모델,호감도 낮음,,모델,
1872,배우가 마음에 안들어서,모델,호감도 낮음,,배우,
1873,분위기가 좋다,비주얼,전체적 분위기,분위기,,
1874,머리에 남는게 없다,기억력,낮음,,머리|기억,
1875,모델이 멋있게 느껴졌고 광고배경이 멋있게 느껴짐,감성 소구,긍정적,모델|광고배경,,
1876,걷기 편할 것 같아서,기능성 강조,긍정적 평가,편의성,,
1877,전문적인 것과는 좀 안 어울림,전문성,부정적 평가,,전문성,
1878,평범한 느낌이 들음,광고 전반,평범함,,평범한 느낌,
1879,브랜드를 잘 모르기 때문에,없음/모름,,,브랜드 인지도 부족,
1880,하이킹화에 대한 관심,제품/브랜드,기능성 강조,하이킹화,,
1881,이유 없음,없음/모름,,,,
1882,신발에 땀이 찰 일이없다 공기가 통하는 신불,기능성 강조,긍정적 평가,공기 통함|땀 차지 않음,없음,
1883,음악,Not enough data,Not enough data,,,
1884,모델이 식상하다,모델,호감도 낮음,,식상함,
1885,모델은 마음에 들지만 무엇을 표현하는지 잘 모르겠다,광고 전반,기억에 남지 않음,모델,특별한 점,
1886,신발이 편해보인다 모델도 멋지다,광고 구성,긍정적 평가,신발|모델,,
1887,핵심이 뚜렷해서 보기 피곤하지 않음,광고 구성,긍정적 평가,핵심|뚜렷함,,
1888,모델 비호감,모델,호감도 낮음,,모델|비호감,
1889,특별히 띄는게 없음,광고 전반,기억에 남지 않음,,특별한 점 없음,
1890,매우 흥미롭다,광고 임팩트,강한 임팩트,흥미,,
1891,발에 땀차지않는다는 점이 마음에든다,기능성 강조,긍정적 평가,땀 차지 않음,,
1892,발에 땀이 찰 일이 없을 것 같은 이유가 무엇인가요?,기능성 강조,보온성,,땀,
1893,제품이 잘보인다,제품/브랜드,긍정적 평가,제품 가시성,,
1894,이유 없음,없음/모름,,,,
1895,제품의 기능을 잘 표현한 광고인 것 같아서.,기능성 강조,긍정적 평가,기능|표현,,
1896,박보검! 제품의 장점을 잘 설명하는 화면이 먼저 나와서 좋다,모델,호감도 높음,박보검|제품 장점|화면,,
1897,제품명에 맞는 내용,광고 전반,신선함,제품명,,
1898,과학적인 설명이 마음에 든다,기능성 강조,긍정적 평가,과학적 설명,,
1899,흥미부족,광고 전반,약한 임팩트,,흥미,
1900,좋아하는 브랜드라서,제품/브랜드,브랜드 이미지,브랜드,,
1901,이유 없음,없음/모름,,,,
1902,발에 땀이 덜 찰거 같다,기능성 강조,긍정적 평가,땀 방지,,
1903,음악,Not enough data,Not enough data,,,
1904,배우가 좋다,모델,호감도 높음,배우,,
1905,특별한 관심이 없다,전반적 평가,중립적,,관심 부족,
1906,통기성이 우수한 트래킹화,기능성 강조,긍정적 평가,통기성|트래킹화,,
1907,모델이 마음에든다,모델,호감도 높음,모델,,
1908,모델이 맘에들고 제품도 맘에들어서,모델,호감도 높음,모델|제품,,
1909,신발의 특징이 잘 나타난다,제품/브랜드,기능성 강조,특징,,
1910,그저 그렇다고 느겨서,전반적 평가,중립적,,그저 그렇다,
1911,특별한것은 없지만 내용이 쉽다,광고 전반,평범함,내용 이해도,특별함 부족,
1912,좀 밋밋한 것 같아요,전반적 평가,부정적,없음,밋밋함,
1913,모델,Not enough data,Not enough data,,,
1914,가벼워 보여서 싫음,제품/브랜드,부정적 평가,,가벼움,
1915,모델,Not enough data,Not enough data,,,
1916,발땀을 제거해주는,기능성 강조,긍정적 평가,발땀 제거,,
1917,신발의 우수성이 보인다,제품/브랜드,기능성 강조,우수성,,
1918,모름,Not enough data,Not enough data,,,
1919,박보검이 마음에 든다,모델,호감도 높음,박보검|마음,,
1920,기능성이 보이는 듯,기능성 강조,긍정적 평가,기능성,,
1921,모델이 맘에 든다,모델,호감도 높음,모델,,
1922,제품 특징이 잘 드러나기는 하지만 내용이 심플하고 모델이 약간 식상하다,광고 구성,부정적 평가,제품 특징,심플함|모델,
1923,모델과 배경 음악이 신선함,광고 전반,신선함,모델|배경 음악,,
1924,박보검이 좋아서,모델,호감도 높음,박보검,,
1925,식상함,Not enough data,Not enough data,,,
1926,주황색이 별로다,시각적 요소,부정적 평가,,주황색,
1927,광고의 내용과 같이 제품이 정말 좋을것 같은 느낌이다.,제품/브랜드,긍정적 평가,제품|느낌,,
1928,트레킹중 불편함을 개선할 수 있는 쾌적함을 보여줌,기능성 강조,긍정적 평가,쾌적함|개선,불편함,
1929,광고가 새롭거나 기억이 남지를 않습니다.,광고 임팩트,약한 임팩트,없음,기억에 남지 않음|새롭지 않음,
1930,신발에 대한 전달,광고 전반,평범함,,신발 전달,
1931,아웃도어에 전문성을 지닌 제품이라고 느껴지고 해주고 제품의 기술력이 돋보이고 구매의향이 생기게 해주었습니다.,제품/브랜드,긍정적 평가,전문성|기술력|구매의향,,
1932,내용을 이해하기는 쉽지만 특별히 기억에남지않아서,광고 임팩트,약한 임팩트,이해,기억,
1933,"""너무 전문적이거나 과학적이 방법이 아님에도 제품의 핵심 기능을 짧은 영상만으로도 잘 알 수있게 보여줘서 유용했고 광고모델을 통해 """"발에 땀 찰일 없겠네.""""라는 표현으로만으로 제품 설명을 제대로 짚어주면서 마무리해주는 방식도 좋았음.""",광고 구성,긍정적 평가,짧은 영상|핵심 기능|유용|제품 설명|마무리,,
1934,에어. 박보검. 등산. 신발밑창의 분리 설명,메시지/카피,이해도 높음,에어|박보검|등산|신발밑창|분리 설명,,
1935,시원한 느낌,비주얼,전체적 분위기,시원함,,
1936,이해하기 쉽고 제품이 좋이보인다,메시지/카피,이해도 높음,이해|제품,,
1937,보검,Not enough data,Not enough data,,,
1938,그냥 좋아보여서요,전반적 평가,긍정적,좋아보임,,
1939,광고의 내용이 공감이 가서,메시지/카피,공감도 높음,공감,,
1940,현실감 결여,광고 전반,평범함,,현실감,
1941,모델,Not enough data,Not enough data,,,
1942,음악이 경쾌하다,음악/사운드,긍정적 평가,경쾌함,,
1943,광고 모델과 브랜드가 잘 어울린다,모델,호감도 높음,모델|브랜드,,
1944,에어로시스템,메시지/카피,독창성,에어로시스템,,
1945,과장이라고 생각한다,전반적 평가,부정적,없음,과장,
1946,좋아하는 브랜드,제품/브랜드,브랜드 이미지,브랜드,,
1947,내용이 이해하기 쉽다,메시지/카피,이해도 높음,이해도,,
1948,포인트를 잘 살렸다,광고 전반,신선함,포인트,,
1949,광고가 마음에 든다,감성 소구,긍정적,광고,,
1950,편해보인다,감성 소구,긍정적,편안함,,
1951,기분이 새로워진다.,감성 소구,긍정적,기분|새로워짐,,
1952,신발의 구체적인 특징이나 장점을 이미지로 확실하게 보여줘서 제품에 더 신뢰가 가고 좋았다,제품/브랜드,기능성 강조,특징|장점|이미지|신뢰,,
1953,평범하다,광고 전반,평범함,,평범함,
1954,특이점 없음,광고 전반,평범함,,특이점,
1955,통풍 좋은 신발,제품/브랜드,기능성 강조,통풍|신발,,
1956,아이더 신발이 공장에서 등장하는 장면이 신박하다,광고 구성,긍정적 평가,신박함|공장 등장 장면,,
1957,좋아하는 모델도 광고에 나오고 제품의 특징도 잘 알 수 있기 때문이다.,광고 구성,긍정적 평가,모델|제품 특징,,
1958,광고내용이 현대적이다.,광고 전반,신선함,현대적,,
1959,오래 기억될 광고는 아니다,기억력,낮음,없음,오래 기억,
1960,제품을 잘 표현하고 있다,제품/브랜드,긍정적 평가,제품 표현,,
1961,통기성,Not enough data,Not enough data,,,
1962,특색이 잘 드러난다,광고 전반,신선함,특색,,
1963,발에 땀 찰 일 없겠네. 라는 말이 광고의 특징을 살려줌.,메시지/카피,긍정적 평가,특징|광고,,
1964,비싸보임,제품/브랜드,디자인,,비싸보임,
1965,빅보검과 잘어울린다,모델,호감도 높음,빅보검|어울림,,
1966,내용이 평범해서 기억에 남지 않는다,광고 전반,기억에 남지 않음,,평범|기억에 남지 않음,
1967,박보검의 친근한 이미지,모델,호감도 높음,친근한 이미지|박보검,,
1968,밝은 분위기와 브랜드 이미지가 잘 어울린다,비주얼,전체적 분위기,밝은 분위기|브랜드 이미지,,
1969,신발 의 기능성,기능성 강조,긍정적 평가,기능성,,
1970,연예인광고는 싫어요.신발밑창에 바람이 통한다,모델,호감도 낮음,신발,연예인광고|바람,
1971,과대광고 같아 보인다,광고 전반,평범함,없음,과대광고,
1972,박보검이 모델로서 좋다,모델,호감도 높음,박보검|모델,,
1973,느낌,Not enough data,Not enough data,,,
1974,신발느낌이좋다,제품/브랜드,긍정적 평가,신발|느낌,,
1975,전반적으로 평작이다,전반적 평가,중립적,,평작,
1976,신발이 분해된 모습이 가식적이다.,광고 전반,신선함,분해된 모습,가식적,
1977,모델을 제대로 활용하지 못했다.,모델,호감도 낮음,없음,모델 활용 부족,
1978,제품의 기능성이 기대됨,제품/브랜드,기능성 강조,기능성|기대감,,
1979,광고 모델을 좋아하기 때문에 광고가 좋게 느껴진다,모델,호감도 높음,광고 모델|호감도,,
1980,광고모델 등이 신선하지 않다,모델,호감도 낮음,,신선함 부족,
1981,신발의 장점을 극대화 표현해서 좋네요,광고 전반,긍정적 평가,장점 극대화|표현,,
1982,기능성 제품,제품/브랜드,기능성 강조,기능성,,
1983,과학적 근거로,전문성,긍정적 평가,과학적 근거,,
1984,다른 광고와 달리 신박해서,독창성,높음,신박함,,
1985,설명을 잘함,메시지/카피,이해도 높음,설명,,
1986,아이유가 등산 모델과는 어울리지 않는다,모델,호감도 낮음,없음,아이유|등산 모델|어울리지 않음,
1987,광고는 평범한데 신발 디자인이 너무 못생겨서 구매욕구가 들지 않는다.,전반적 평가,부정적,없음,평범함|신발 디자인|구매욕구,
1988,이유 없음,없음/모름,,,,
1989,그냥 보통의 아웃도어 신발의 광고라서,광고 전반,평범함,없음,보통|아웃도어 신발,
1990,디자인,Not enough data,Not enough data,,,
1991,첫 화면 바람 실험,광고 전반,신선함,실험,,
1992,광고 모델이 별로,모델,호감도 낮음,,모델,
1993,무난한 느낌,광고 전반,평범함,,무난함,
1994,박보검이 싫어서 보기가 싫어짐,모델,호감도 낮음,,박보검|싫어함,
1995,박보검이 브랜드와 잘 어울린다,모델,호감도 높음,박보검|브랜드 어울림,,
1996,모델과 배경,모델,호감도 높음,모델|배경,,
1997,에어로 시스템,기능성 강조,긍정적 평가,에어로 시스템,,
1998,신발에서 김이 나오는 장면이 신선함,광고 전반,신선함,신선함|김 나오는 장면,,
1999,흥미로움,광고 임팩트,강한 임팩트,흥미로움,,
2000,비슷한광고,광고 전반,평범함,,비슷한광고,
2001,내용이 없다,없음/모름,,,,
2002,수지가 플라이하이크를 광고하는데 모델을 좋아한다,모델,호감도 높음,수지|모델,,
2003,수지 싫음,모델,호감도 낮음,,수지,
2004,이해하기 쉽다,메시지/카피,이해도 높음,이해도,,
2005,산에서도 도시에서도 완벽 문구,메시지/카피,공감도 높음,완벽|산|도시,,
2006,해마다 비슷해서요,광고 전반,평범함,없음,비슷함,
2007,신발 가격이 비싸다 구매하여 신고 있음,제품/브랜드,가격,신발,비싸다,
2008,내용이 쉽고 모델이 찰떡이다,광고 구성,긍정적 평가,내용|모델,,
2009,너무 단순하다,광고 전반,평범함,없음,단순함,
2010,과장된 느낌,광고 전반,평범함,없음,과장,
2011,신발 갖고 싶어진다,구매 의도,긍정적,신발|갖고 싶음,,
2012,배우가 마음에 든다,모델,호감도 높음,배우,,
2013,장점이 쏙 들어온다,광고 전반,신선함,장점,,
2014,수지 쿠셔닝이 좋아 착화감이 좋을 것 같은 부분을 잘 어필했다,기능성 강조,긍정적 평가,쿠셔닝|착화감,,
2015,광고 모델과 배경 경계선이 어색함,비주얼,부정적 평가,,모델|배경|경계선|어색함,
2016,편안해 보인다,감성 소구,긍정적,편안함,,
2017,배경과 모델이 너무 합성티가난다,비주얼,부정적 평가,,합성티,
2018,평화롭고 자유로워보인다,감성 소구,긍정적,평화|자유,,
2019,구성이좋음,광고 구성,긍정적 평가,구성,,
2020,딱히 뭘 보여주려는건지 모르겟음,광고 전반,기억에 남지 않음,,기억에 남지 않음|의도 불명확,
2021,광고 장면이 친근감을 줍니다,감성 소구,긍정적,친근감,,
2022,너무 평범함 느낌이고 기능 설명 비교 전혀 없음,광고 전반,평범함,없음,평범함|기능 설명 부족|비교 부족,
2023,수지가 너무 상큼하고 예쁘다,모델,호감도 높음,수지|상큼함|예쁨,,
2024,모델.,Not enough data,Not enough data,,,
2025,젊고 시원하게 보임,시각적 요소,긍정적 평가,젊음|시원함,,
2026,배경 CG인가?,비주얼,배경,CG,,
2027,신발의 쿠션감이 아주 좋을거 같아서 신어보고싶은 마음이 듭니다,구매 의도,긍정적,쿠션감|신어보고싶은 마음,,
2028,편안함을 강조,기능성 강조,긍정적 평가,편안함,,
2029,수지와 잘 어울린다,모델,호감도 높음,수지|어울림,,
2030,특별한 개성이 안느껴짐,광고 전반,평범함,없음,개성,
2031,모델의 제스쳐가 손발이 오그라든다,모델,호감도 낮음,없음,제스쳐|손발|오그라듦,
2032,완벽한 쿠셔닝,제품/브랜드,기능성 강조,쿠셔닝,,
2033,모델,Not enough data,Not enough data,,,
2034,광고 장면,없음/모름,,,,
2035,신발이 편해보임,제품/브랜드,긍정적 평가,편안함|신발,,
2036,다른 광고와 차별성이 없다,광고 전반,평범함,,차별성,
2037,발이 편하게 활동을 할 수 있다,기능성 강조,긍정적 평가,발|편함|활동성,,
2038,쿠셔닝,Not enough data,Not enough data,,,
2039,모델이 생소함,모델,호감도 낮음,없음,생소함,
2040,이유 없음,없음/모름,,,,
2041,광고장면,없음/모름,,,,
2042,이상함,Not enough data,Not enough data,,,
2043,무슨내용인지 모름,없음/모름,,,,
2044,플라이하이크가 무엇인지 알기 어려움,메시지/카피,이해도 낮음,없음,이해 어려움|플라이하이크,
2045,모델,Not enough data,Not enough data,,,
2046,쿠셔닝,Not enough data,Not enough data,,,
2047,왜 좋은 모델 데려다가 저런 광고를 찍었는지 하는 느낌이 듦,모델,부정적 평가,,모델|광고,
2048,분위기 광고 모델,광고 전반,분위기,광고 모델,,
2049,모델과 분위기가 마음에 든다,모델,호감도 높음,모델|분위기,,
2050,광고 내용이 밋밋해서,광고 전반,평범함,,밋밋함,
2051,밝은 분위기로 운동화의 좋은 점을 설명해준다.,광고 전반,긍정적,밝은 분위기|운동화|좋은 점,,
2052,수지,Not enough data,Not enough data,,,
2053,다른 브랜드와 차별성이 없어서,광고 전반,평범함,없음,차별성,
2054,평범하다,광고 임팩트,약한 임팩트,없음,평범함,
2055,이해하기 쉬운 컨셉,메시지/카피,이해도 높음,컨셉|이해,,
2056,이유 없음,없음/모름,,,,
2057,그냥 좋아보인다,전반적 평가,긍정적,좋아보임,,
2058,사뿐사뿐,메시지/카피,독창성,사뿐사뿐,,
2059,특별한 느낌이없다,광고 전반,평범함,없음,특별한 느낌,
2060,이거 하나면 다됨,광고 전반,신선함,다됨,,
2061,모델이 어울리지 않음,모델,호감도 낮음,,모델|부적합성,
2062,모델이 마음에 든다,모델,호감도 높음,모델,,
2063,새롭다는 이미지는 없네요. 그냥 흔히 생각나는 신발 광고,창의성,부정적,없음,새로움 부족|흔한 광고,
2064,기능성을 잘강조함,기능성 강조,긍정적 평가,기능성,,
2065,그냥 평범하다,광고 전반,평범함,,평범함,
2066,좋은 품질의 국산제품이고 수지가 출연해서 더 관심을 갖게 해서,제품/브랜드,긍정적 평가,국산제품|품질|수지,,
2067,모델,Not enough data,Not enough data,,,
2068,제품에대한광고설명부족,제품/브랜드,부정적 평가,,광고설명|부족,
2069,행복한,Not enough data,Not enough data,,,
2070,밝은 느낌이 좋아서,시각적 요소,색감,밝은 느낌,,
2071,이유 없음,없음/모름,,,,
2072,광고가 평이하다,광고 전반,평범함,,평이함,
2073,편해보인다,감성 소구,긍정적,편안함,,
2074,모델 호감,모델,호감도 높음,호감,,
2075,임팩트 없음,광고 임팩트,약한 임팩트,,임팩트,
2076,그냥 운동화광고같다,광고 전반,평범함,없음,운동화 광고,
2077,음악과 배경 모델의 움직임이 마음에 든다,감성 소구,긍정적,음악|배경|모델|움직임,,
2078,상표이미지 부각,제품/브랜드,브랜드 이미지,상표이미지,,
2079,모델,Not enough data,Not enough data,,,
2080,k2 수지가 나와서 좋습니다,모델,호감도 높음,수지|모델,,
2081,플라이하이크 신선함,광고 전반,신선함,신선함,,
2082,적재적소에 사용가능한,기능성 강조,긍정적 평가,적재적소|사용가능성,,
2083,신발이 예뻐서 눈길이 간다,제품/브랜드,디자인,신발|예쁨|눈길,,
2084,밝은 느낌과 신발 구조를 홍보하는 것이 마음에 든다.,비주얼,긍정적 평가,밝은 느낌|신발 구조,,
2085,신발 쿠셔닝 강조,기능성 강조,긍정적 평가,쿠셔닝,,
2086,배우가 어울리지않는다,모델,호감도 낮음,,어울리지 않음|배우,
2087,광고와 모델이 잘어울린다,모델,호감도 높음,모델|어울림,,
2088,광고 모델이 매우 마음에 든다,모델,호감도 높음,광고 모델,,
2089,너무 평범함,광고 전반,평범함,,평범함,
2090,신발의 표현이 좋다,제품/브랜드,긍정적 평가,신발|표현,,
2091,신발이 디자인이 예뻐 눈길이 가고 편안하게 보인다,제품/브랜드,디자인,디자인|눈길|편안함,,
2092,수지와 K2 이미지가 잘 어울리는 것 같다,모델,긍정적 평가,수지|이미지 어울림,,
2093,특별함이 없음,광고 전반,평범함,없음,특별함,
2094,내용 이해 불가,없음/모름,,,,
2095,그냥 그렇다,전반적 평가,중립적,,그냥,
2096,그냥 운동화 광고같다,광고 전반,평범함,없음,운동화 광고,
2097,모델이 익숙하다,모델,인지도,익숙함,,
2098,뭔가 1퍼센트 부족한 느낌이 든다,전반적 평가,부정적,없음,부족함,
2099,식상해서 평가할만게없다,창의성,부정적,없음,식상함,
2100,평범함,Not enough data,Not enough data,,,
2101,일상생활에서도 신을 수 있다는 게 참신하다,독창성,높음,참신함|일상생활,,
2102,평범하다,광고 임팩트,약한 임팩트,,평범함,
2103,발랄함,Not enough data,Not enough data,,,
2104,맘에 들어서,전반적 평가,긍정적,맘에 들어서,,
2105,제품이 모델과 잘 어울리는 듯 합니다,모델,호감도 높음,제품|모델,,
2106,수지가 나오는 광고,모델,인지도,,수지,
2107,특별하진 않다,광고 전반,평범함,,특별함 부족,
2108,배경 합성,비주얼,배경,합성,,
2109,완벽한,Not enough data,Not enough data,,,
2110,이거 하나면 다 됨~에 공감이 안감,메시지/카피,공감도 낮음,없음,공감 부족,
2111,너무 단순하다,광고 전반,평범함,없음,단순함,
2112,배수지와 멘트 목소리 다 경쾌하니 브랜드 이미지가 친근해져서 좋다,모델,호감도 높음,배수지|경쾌함|친근함,,
2113,모델이 마음에 든다,모델,호감도 높음,모델,,
2114,광고가 좀 촌스러운 느낌이여서,광고 전반,평범함,없음,촌스러움,
2115,간결한전달이 와닿음,메시지/카피,이해도 높음,간결|전달,,
2116,모델이 인상적이다,모델,호감도 높음,모델|인상,,
2117,수지가 광고와 잘어울리는듯하다,모델,호감도 높음,수지|어울림,,
2118,이거하나면 다됨 쿠셔닝,메시지/카피,독창성,쿠셔닝,,
2119,배경이 트레킹과 어울린다,비주얼,배경,트레킹|배경,,
2120,가벼운 발걸음,메시지/카피,공감도 높음,발걸음,,
2121,푹신한 쿠션 이야기라서 마음에 든다.,감성 소구,긍정적,쿠션|푹신함,,
2122,제품 정보가 있고 광고 모델 수지와 어울린다,광고 구성,긍정적 평가,제품 정보|광고 모델,,
2123,완벽한 쿠셔닝으로 좋은 상품,제품/브랜드,기능성 강조,쿠셔닝|상품,,
2124,다양한 용도로 사용할 수 있는 신발에 대한 표현이 잘 되었다.,제품/브랜드,기능성 강조,다양한 용도|신발 표현,,
2125,이런 광고 문구가 흔한 느낌,메시지/카피,독창성,없음,흔한 느낌,
2126,흥미,Not enough data,Not enough data,,,
2127,음악,Not enough data,Not enough data,,,
2128,수지,Not enough data,Not enough data,,,
2129,쉬운 내용,메시지/카피,이해도 높음,내용,,
2130,광고모델보다는 제품의 기능에 초점으 ㄹ맞춘듯 보인다.,제품/브랜드,기능성 강조,제품 기능,광고모델,
2131,모델이 수지,모델,호감도 높음,수지,,
2132,신발 디자인이 별로라고 생각돼서,제품/브랜드,디자인,,신발 디자인,
2133,기억 못하겠음,없음/모름,,,기억 부족,
2134,모델도 별루 제품은 보통,모델,부정적 평가,제품,모델,
2135,모델이 예쁘다,모델,호감도 높음,모델|예쁨,,
2136,좋아요,Not enough data,Not enough data,,,
2137,제품이 편할것 같은 생각이 들어서,제품/브랜드,기능성 강조,편안함,,
2138,퀄리티가 별로다,전반적 평가,부정적,없음,퀄리티,
2139,광고모델이 맘에 들고 장소에 상관없이 어디서나 어울린다는 내용이 맘에 든다,모델,호감도 높음,광고모델|어울림,,
2140,색상과 쿠션,비주얼,색감,색상|쿠션,,
2141,광고 전달력이 좋음,광고 전반,몰입도,전달력,,
2142,너무 예쁜 광고라는 느낌으로 접했던 느낌,전반적 평가,긍정적,예쁜 광고|좋은 느낌,,
2143,수지도 이뻐요,모델,호감도 높음,수지|예쁨,,
2144,수지가 너무 예쁘다,모델,호감도 높음,수지|예쁨,,
2145,일반 신발 광고와 차이가 느껴지지 않는다,광고 전반,평범함,없음,차이점 부재|일반성,
2146,수지만 보이네요,모델,호감도 낮음,,수지,
2147,이해하기 쉽다,메시지/카피,이해도 높음,이해도,,
2148,보통의 수준,전반적 평가,중립적,,보통,
2149,모델과 잘 어울려서,모델,호감도 높음,모델|어울림,,
2150,수지 이거 하나면 다 됨,모델,호감도 높음,수지,,
2151,광고 카피 플아이하이크,메시지/카피,독창성,플라이하이크,,
2152,수지 신선,모델,호감도 높음,수지|신선함,,
2153,새로움이 없다,독창성,낮음,없음,새로움,
2154,상품,Not enough data,Not enough data,,,
2155,너무 평범함,광고 전반,평범함,,평범함,
2156,이거 하나면 다됨,광고 전반,신선함,이거 하나,,
2157,수지가 눈에 들어온다,모델,호감도 높음,수지,,
2158,가격이 비쌀 것 같다,제품/브랜드,부정적 평가,,가격,
2159,신발이 심플하게 튼튼해보임,제품/브랜드,디자인,심플함|튼튼함,,
2160,광고가 특별하게 와닿지 않고 그렇다고 나쁜 이미지도 아니다. 보통 수준,전반적 평가,중립적,없음,특별함 부족,
2161,여자모델의 엉성한 연기,모델,호감도 낮음,,엉성한 연기|여자모델,
2162,모델 수지가 잘 어울림,모델,호감도 높음,수지|어울림,,
2163,신발 광고에는 적합치않음,광고 전반,부정적,없음,신발 광고 부적합성,
2164,장면,Not enough data,Not enough data,,,
2165,신발 기능에 대해 잘 보여줘서 좋다,기능성 강조,긍정적 평가,신발 기능|기능 표현,,
2166,수지가 호감이어서,모델,호감도 높음,수지|호감,,
2167,카피,Not enough data,Not enough data,,,
2168,무난,Not enough data,Not enough data,,,
2169,발보호 발편함,기능성 강조,긍정적 평가,발보호|발편함,,
2170,가볍다고 여겨지네,제품/브랜드,기능성 강조,가벼움,,
2171,일상의 여러 곳에서 다양하게 신을 수 있다를 표현한것 같은데 표현 방법이 너무 올드했음 그래서 잘 광고내용이 생각이 잘 안남,광고 전반,평범함,일상|다양성,올드한 표현|기억에 남지 않음,
2172,신발의 클로즈업,비주얼,전체적 분위기,클로즈업,,
2173,그냥 그렇다,전반적 평가,중립적,,그냥,
2174,제품의 우수성 표현이 애매함,제품/브랜드,부정적 평가,,우수성 표현|애매함,
2175,세련된 영상미를 가지고 있습니다,비주얼,영상미,세련된 영상미,,
2176,쿠셔닝,Not enough data,Not enough data,,,
2177,하늘을 나는 것 같은 가벼운 느낌이 광고 안에서 잘 표현되었다,광고 구성,긍정적 평가,가벼운 느낌|표현력,,
2178,쿠션감이 있는 신발이라는 것을 느낄수 있다,제품/브랜드,기능성 강조,쿠션감|신발,,
2179,수지 호감,모델,호감도 높음,수지|호감,,
2180,호기심,Not enough data,Not enough data,,,
2181,플라이 하이크의 특장점을 잘 알려 주어서,제품/브랜드,기능성 강조,특장점,,
2182,모델이 별로,모델,호감도 낮음,,모델,
2183,모델이 기억에 남는다,모델,인지도,기억,,
2184,한 신으로 캐쥬얼 포멀 다 해결된다는점,제품/브랜드,기능성 강조,캐주얼|포멀|해결,,
2185,수지 어울림,모델,호감도 높음,수지|어울림,,
2186,이거 하나면 다됨,광고 전반,신선함,다됨,,
2187,수지여서,모델,호감도 높음,수지,,
2188,음. 내용이 좀 공감이 가기 어렵다.이게 뭐지? 하는 생각이 들었다. 처음 봤을 때.,메시지/카피,이해도 낮음,,공감|이해,
2189,신발 기능이 잘 이해된다,기능성 강조,긍정적 평가,기능|이해,,
2190,신발이 왜 폭신한지는 알겠는데 혹시 등산은 안되는 건가요? 하나면 다 된다는 뜻은. 그렇다면 평지만 걸으면 안될 듯,제품/브랜드,기능성 강조,폭신함,등산 부적합성|평지 걷기 제한,
2191,일반적인 광고,광고 전반,평범함,,일반적인 광고,
2192,모델이 비호감,모델,호감도 낮음,,비호감,
2193,유치함,Not enough data,Not enough data,,,
2194,수지가 예뻐서,모델,호감도 높음,수지|예쁨,,
2195,배경이 아름다웠습니다,시각적 요소,배경,배경|아름다움,,
2196,진짜 그거 하나로 다 될까,신뢰성,부정적 평가,,의구심,
2197,자유롭게 생활하기 좋을 것 같다,감성 소구,긍정적,자유로움,,
2198,문구,Not enough data,Not enough data,,,
2199,모델이 싫다,모델,호감도 낮음,,모델,
2200,신선하다,광고 전반,신선함,신선함,,
2201,광고 장면 문구나 카피 모델 배경 음악,광고 구성,긍정적 평가,장면|문구|카피|모델|배경|음악,,
2202,설명이 쉽다,메시지/카피,이해도 높음,설명,,
2203,수지가 너무 예쁘다. 부럽다,모델,호감도 높음,수지|예쁨,,
2204,친숙한 모델,모델,호감도 높음,친숙함,,
2205,모델이 너무 이쁘다,모델,호감도 높음,모델|이쁨,,
2206,광고가 다양성이 있게 나타내어서,광고 전반,신선함,다양성,,
2207,별 느낌이 없다,광고 전반,기억에 남지 않음,,느낌 부재,
2208,이유 없음,없음/모름,,,,
2209,디자인이 예뻐서,제품/브랜드,디자인,디자인|예쁨,,
